name,rank,year,genre,duration,rating,url,runtime_min,decade
The Kid,139,1921,Family,1h 8m,8.2,https://www.imdb.com/title/tt0012349/,68.0,1920
The Father,140,2020,Drama,1h 37m,8.2,https://www.imdb.com/title/tt10272386/,97.0,2020
The Father,140,2020,Mystery,1h 37m,8.2,https://www.imdb.com/title/tt10272386/,97.0,2020
All About Eve,141,1950,Drama,2h 18m,8.2,https://www.imdb.com/title/tt0042192/,138.0,1950
The Sixth Sense,142,1999,Drama,1h 47m,8.2,https://www.imdb.com/title/tt0167404/,107.0,1990
The Sixth Sense,142,1999,Mystery,1h 47m,8.2,https://www.imdb.com/title/tt0167404/,107.0,1990
The Sixth Sense,142,1999,Thriller,1h 47m,8.2,https://www.imdb.com/title/tt0167404/,107.0,1990
Ran,143,1985,Action,2h 40m,8.2,https://www.imdb.com/title/tt0089881/,160.0,1980
Ran,143,1985,Drama,2h 40m,8.2,https://www.imdb.com/title/tt0089881/,160.0,1980
Ran,143,1985,War,2h 40m,8.2,https://www.imdb.com/title/tt0089881/,160.0,1980
Casino,144,1995,Crime,2h 58m,8.2,https://www.imdb.com/title/tt0112641/,178.0,1990
Casino,144,1995,Drama,2h 58m,8.2,https://www.imdb.com/title/tt0112641/,178.0,1990
No Country for Old Men,145,2007,Crime,2h 2m,8.2,https://www.imdb.com/title/tt0477348/,122.0,2000
No Country for Old Men,145,2007,Drama,2h 2m,8.2,https://www.imdb.com/title/tt0477348/,122.0,2000
No Country for Old Men,145,2007,Thriller,2h 2m,8.2,https://www.imdb.com/title/tt0477348/,122.0,2000
The Thing,146,1982,Horror,1h 49m,8.2,https://www.imdb.com/title/tt0084787/,109.0,1980
The Thing,146,1982,Mystery,1h 49m,8.2,https://www.imdb.com/title/tt0084787/,109.0,1980
The Thing,146,1982,Sci-Fi,1h 49m,8.2,https://www.imdb.com/title/tt0084787/,109.0,1980
Hababam Sinifi: Sinifta Kaldi,147,1975,Comedy,1h 35m,8.6,https://www.imdb.com/title/tt0252488/,95.0,1970
Top Gun: Maverick,148,2022,Action,2h 10m,8.2,https://www.imdb.com/title/tt1745960/,130.0,2020
Top Gun: Maverick,148,2022,Drama,2h 10m,8.2,https://www.imdb.com/title/tt1745960/,130.0,2020
El laberinto del fauno,149,2006,Drama,1h 58m,8.2,https://www.imdb.com/title/tt0457430/,118.0,2000
El laberinto del fauno,149,2006,Fantasy,1h 58m,8.2,https://www.imdb.com/title/tt0457430/,118.0,2000
El laberinto del fauno,149,2006,War,1h 58m,8.2,https://www.imdb.com/title/tt0457430/,118.0,2000
